xwiki_page,Business_System,clientname,parentcompany,childcompany,lead,pmlead,notesissues,intake,cid,legalentity,requirequote,whoapprovequote,refusingprojects,followrules,intakeinfo,processingrequirements,securityrequirements,translationmemory,translationglossary,usrequirements,deliveryrequirements,certificationneeded,preferredlinguist,processinginformation,pricingrequirements,pricingstructure,expandoncontract,rushfees,minimums,languagenotincluded,billclient,porequirements,billingcontact,billinginfo
Client Info Library.Tufts Children's Hospital,XTRF,Tufts Children's Hospital,,,,,,related to Tufts Medical Center,,PI,,,,,,,,,,,,,,,,Tufts Medical Pricing. See the [[main page>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Tufts%20Medical%20Center]] for pricing sheet,,,,,,,,
Client Info Library.LCVC Management,XTRF,LCVC Management,,,,,,,,LLS,,,,,,,,,,,,,,,,"English to Spanish: $0.15/word - with leveraging 
FMT: $55/hour
PR: $60/hour
10% PM fee (27.50 min)",,,$99 for Spanish ,,,,,
Client Info Library.North Carolina Central University,WorkFront,North Carolina Central University,,,,,,,,LLS,,,,,,,,,,,,,,,,School District & Board of Education List Pricing (In DB) ,,,,,,,,
Client Info Library.University of Maryland Charles Regional Medical Center,XTRF,University of Maryland Charles Regional Medical Center,Client Info Library.University of Maryland Medical System,,,,,,direct bill,LLS,,,,,,,,,,,,,,,,[[University of Maryland pricing>>doc:University of Maryland]],,,,,,,,
Client Info Library.CGI Federal,XTRF,CGI Federal,,,,,,There are two billing entities CMHA & PBCA and they should be indicated with project submission.,,LLS,,,,,,,,,,,,,,,"{{pdfviewer file=""SOW - Translation  Localization_CGI Federal_CMHA.pdf""/}}


{{pdfviewer file=""SOW - Translation  Localization_CGI Federal_PBCA.pdf""/}}

 ",[[Government List Pricing>>doc:Government List Pricing]],,,"Spanish - $75

Min Language - $99",,CID 9020512070,,,
Client Info Library.Central Early Steps Program,,Central Early Steps Program,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare pricing,,,,,,,,
Client Info Library.Florence Unified School District,XTRF,Florence Unified School District,,,,,,,,LLS,,,,,,,,,,,"For State of Arizona, some groups request translations be completed for 6th grade level or lower. – please confirm with requestor if not specified.


Please DO NOT deliver using Zip Files",,,,,"(% style=""color:null"" %)State of Arizona Pricing - NO leveraging

[[image:1642695580816-981.png||height=""437"" width=""906""]]","**NEW PRICING EFFECTIVE 6.24.2016 (Approved contract pricing)**

**Spanish without **formatting   **                                    $0.18**

**Spanish with **formatting   **                                          $0.20**

**All other languages **without formatting **                 $0.27**

**All other languages **with formatting   **                     $0.30**

We cannot charge PM fees.

PR can be explicitly quoted as ""Off-contract."" Client approval of quote is required, though.",$.07/word,"|(((
Translation services shall be billed with a 300 word minimum.

For billing purposes a word shall be defined as five (5) characters in the requested target language.
)))",,,,,
Client Info Library.Butte County,XTRF,Butte County,State of California,Client Info Library.Butte County Department of Behavioral Health,,,,,,LLS,,,,,,,,,,,,,,,,[[Government List>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Government%20List%20Pricing]] - with leveraging,,,,,,,,
Client Info Library.Children's Advocacy Center of Douglas County,,,,,,,,,,LLS,,,,,,,,,,,,,,,,"Margin pricing


**English to...**

Braille 40% margin + pm Fee

Spanish (US): $0.15 / $0.08 / $0.04 / $65/hr


**Other**

FMT/CRM $55

PM 10% 27.50 Min.

 ",,,,,,,,
Client Info Library.US Department of Labor - OSHA,,US Department of Labor - OSHA,,,,,,Please cc Jon Bove on all client correspondence. ,,LLS,,,,,,Please cc Jon Bove on all client correspondence. ,,,,,,,,,,GSA Pricing (in Pricing Database.),Transcription: 50% GM.,,,,,,,
