xwiki_page,xwiki_page_name,xwiki_rest_url,Business_System,clientname,parentcompany,childcompany,lead,pmlead,notesissues,intake,cid,legalentity,requirequote,whoapprovequote,refusingprojects,followrules,intakeinfo,processingrequirements,securityrequirements,translationmemory,translationglossary,usrequirements,deliveryrequirements,certificationneeded,preferredlinguist,processinginformation,pricingrequirements,pricingstructure,expandoncontract,rushfees,minimums,languagenotincluded,billclient,porequirements,billingcontact,billinginfo
Client Info Library.Tufts Children's Hospital,Tufts Children's Hospital,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Tufts%20Children%27s%20Hospital/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Tufts Children's Hospital,,,,,,related to Tufts Medical Center,,PI,,,,,,,,,,,,,,,,Tufts Medical Pricing. See the [[main page>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Tufts%20Medical%20Center]] for pricing sheet,,,,,,,,
Client Info Library.LCVC Management,LCVC Management,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/LCVC%20Management/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,LCVC Management,,,,,,,,LLS,,,,,,,,,,,,,,,,"English to Spanish: $0.15/word - with leveraging 
FMT: $55/hour
PR: $60/hour
10% PM fee (27.50 min)",,,$99 for Spanish ,,,,,
Client Info Library.North Carolina Central University,North Carolina Central University,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/North%20Carolina%20Central%20University/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,WorkFront,North Carolina Central University,,,,,,,,LLS,,,,,,,,,,,,,,,,School District & Board of Education List Pricing (In DB) ,,,,,,,,
Client Info Library.University of Maryland Charles Regional Medical Center,University of Maryland Charles Regional Medical Center,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/University%20of%20Maryland%20Charles%20Regional%20Medical%20Center/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,University of Maryland Charles Regional Medical Center,Client Info Library.University of Maryland Medical System,,,,,,direct bill,LLS,,,,,,,,,,,,,,,,[[University of Maryland pricing>>doc:University of Maryland]],,,,,,,,
Client Info Library.CGI Federal,CGI Federal,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/CGI%20Federal/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,CGI Federal,,,,,,There are two billing entities CMHA & PBCA and they should be indicated with project submission.,,LLS,,,,,,,,,,,,,,,"{{pdfviewer file=""SOW - Translation  Localization_CGI Federal_CMHA.pdf""/}}


{{pdfviewer file=""SOW - Translation  Localization_CGI Federal_PBCA.pdf""/}}

 ",[[Government List Pricing>>doc:Government List Pricing]],,,"Spanish - $75

Min Language - $99",,CID 9020512070,,,
Client Info Library.Central Early Steps Program,Central Early Steps Program,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Central%20Early%20Steps%20Program/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,,Central Early Steps Program,,,,,,,,LLS,,,,,,,,,,,,,,,,Healthcare pricing,,,,,,,,
Client Info Library.Florence Unified School District,Florence Unified School District,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Florence%20Unified%20School%20District/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Florence Unified School District,,,,,,,,LLS,,,,,,,,,,,"For State of Arizona, some groups request translations be completed for 6th grade level or lower. – please confirm with requestor if not specified.


Please DO NOT deliver using Zip Files",,,,,"(% style=""color:null"" %)State of Arizona Pricing - NO leveraging

[[image:1642695580816-981.png||height=""437"" width=""906""]]","**NEW PRICING EFFECTIVE 6.24.2016 (Approved contract pricing)**

**Spanish without **formatting   **                                    $0.18**

**Spanish with **formatting   **                                          $0.20**

**All other languages **without formatting **                 $0.27**

**All other languages **with formatting   **                     $0.30**

We cannot charge PM fees.

PR can be explicitly quoted as ""Off-contract."" Client approval of quote is required, though.",$.07/word,"|(((
Translation services shall be billed with a 300 word minimum.

For billing purposes a word shall be defined as five (5) characters in the requested target language.
)))",,,,,
Client Info Library.Butte County,Butte County,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Butte%20County/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,XTRF,Butte County,State of California,Client Info Library.Butte County Department of Behavioral Health,,,,,,LLS,,,,,,,,,,,,,,,,[[Government List>>https://wiki.llts.com:8181/xwiki/bin/view/Client%20Info%20Library/Government%20List%20Pricing]] - with leveraging,,,,,,,,
Client Info Library.Children's Advocacy Center of Douglas County,Children's Advocacy Center of Douglas County,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/Children%27s%20Advocacy%20Center%20of%20Douglas%20County/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,,,,,,,,,,LLS,,,,,,,,,,,,,,,,"Margin pricing


**English to...**

Braille 40% margin + pm Fee

Spanish (US): $0.15 / $0.08 / $0.04 / $65/hr


**Other**

FMT/CRM $55

PM 10% 27.50 Min.

 ",,,,,,,,
Client Info Library.US Department of Labor - OSHA,US Department of Labor - OSHA,https://wikistage.llts.com:8181/xwiki/rest/wikis/xwiki/spaces/Client%20Info%20Library/pages/US%20Department%20of%20Labor%20-%20OSHA/objects/ClientInfoLibraryCode.ClientInfoLibraryClass/0/properties,,US Department of Labor - OSHA,,,,,,Please cc Jon Bove on all client correspondence. ,,LLS,,,,,,Please cc Jon Bove on all client correspondence. ,,,,,,,,,,GSA Pricing (in Pricing Database.),Transcription: 50% GM.,,,,,,,
